instance,feature_or_level,local_contribution,centered_or_active_value,model_prob,local_surrogate_prob
Most-likely Satisfied,Cleanliness,0.12008706431245827,-2.0,0.7911781045843537,0.7167375317004292
Most-likely Satisfied,Arrival Delay in Minutes,0.09837334132887161,10.0,0.7911781045843537,0.7167375317004292
Most-likely Satisfied,Inflight entertainment,0.05089951107608782,-2.0,0.7911781045843537,0.7167375317004292
Most-likely Satisfied,Inflight wifi service,0.02044560095619095,-2.0,0.7911781045843537,0.7167375317004292
Most-likely Satisfied,Class_Business,0.009964520750512369,1.0,0.7911781045843537,0.7167375317004292
Most-likely Satisfied,Inflight service,0.008993989735156896,-1.0,0.7911781045843537,0.7167375317004292
Most-likely Satisfied,Gender_Female,-0.00487437545597567,1.0,0.7911781045843537,0.7167375317004292
Most-likely Satisfied,Age,0.0048211139127358835,10.0,0.7911781045843537,0.7167375317004292
Most-likely Satisfied,Checkin service,-0.004579999936491848,1.0,0.7911781045843537,0.7167375317004292
Most-likely Satisfied,Type of Travel_Business travel,-0.003556458455458565,1.0,0.7911781045843537,0.7167375317004292
Most-likely Dissatisfied,Inflight service,-0.15718734693135478,-2.0,0.2306133989108359,0.2981240957760854
Most-likely Dissatisfied,Seat comfort,-0.0900241928400458,-2.0,0.2306133989108359,0.2981240957760854
Most-likely Dissatisfied,Inflight entertainment,0.037333061693709244,1.0,0.2306133989108359,0.2981240957760854
Most-likely Dissatisfied,Leg room service,-0.033155082104222695,1.0,0.2306133989108359,0.2981240957760854
Most-likely Dissatisfied,Gate location,-0.03140784675543474,-1.0,0.2306133989108359,0.2981240957760854
Most-likely Dissatisfied,Flight Distance,0.023472056320660444,-664.0,0.2306133989108359,0.2981240957760854
Most-likely Dissatisfied,Gender_Male,-0.017476812416647402,1.0,0.2306133989108359,0.2981240957760854
Most-likely Dissatisfied,Arrival Delay in Minutes,0.01691761434098938,4.0,0.2306133989108359,0.2981240957760854
Most-likely Dissatisfied,Food and drink,-0.015023157041721004,-1.0,0.2306133989108359,0.2981240957760854
Most-likely Dissatisfied,Customer Type_Disloyal Customer,0.007545393247589317,1.0,0.2306133989108359,0.2981240957760854
Random Passenger,Departure Delay in Minutes,-0.04598603508860343,10.0,0.5247295902872633,0.5197125627185916
Random Passenger,Arrival Delay in Minutes,-0.02722440556645862,15.0,0.5247295902872633,0.5197125627185916
Random Passenger,Online boarding,0.013179677347183397,1.0,0.5247295902872633,0.5197125627185916
Random Passenger,Inflight service,-0.012213753169486268,-1.0,0.5247295902872633,0.5197125627185916
Random Passenger,Flight Distance,-0.009701834303163868,-367.0,0.5247295902872633,0.5197125627185916
Random Passenger,Inflight wifi service,-0.008050694380924176,-1.0,0.5247295902872633,0.5197125627185916
Random Passenger,Leg room service,-0.007428898060611663,-1.0,0.5247295902872633,0.5197125627185916
Random Passenger,Class_Eco,0.006075138903350485,1.0,0.5247295902872633,0.5197125627185916
Random Passenger,Cleanliness,-0.0047840283217048035,1.0,0.5247295902872633,0.5197125627185916
Random Passenger,Food and drink,0.004637197217206431,-1.0,0.5247295902872633,0.5197125627185916
